,GDP_USD_Bn,RD_Pct_GDP,AI_Market_Size_USDm,AI_Startup_Investment_USDm,Total_Startup_Investment_USDm,AI_Readiness_Score,AI_Employment_Pct,Internet_Penetration_Pct,AI_Adoption_Rate_Pct,AI_Market_Pct_GDP,AI_Inv_Pct_Total_Startup
GDP_USD_Bn,1.0,0.8588393111042185,0.796393387393234,0.5710959614626221,0.838628425494039,0.887023248142161,0.910307073015946,-0.042960351668977485,0.8288271083902147,0.5389414023486191,-0.6593629357777709
RD_Pct_GDP,0.8588393111042185,1.0,0.5968914921279616,0.5095711249091072,0.7714685752955841,0.6692341700554727,0.8017594502755491,0.2873706644834999,0.7290201841140673,0.3070862757233671,-0.7250393942713258
AI_Market_Size_USDm,0.796393387393234,0.5968914921279616,1.0,0.4924212553973958,0.6352639978515741,0.8140209854133589,0.9182806004595546,0.6360432076853693,0.802685187820122,0.8984252733063913,-0.3365703450158149
AI_Startup_Investment_USDm,0.5710959614626221,0.5095711249091072,0.4924212553973958,1.0,0.8711026111349713,0.5699659246262357,0.4603956367072099,0.19763569733115577,0.7270908371950189,0.4009711038181609,-0.1972312101139011
Total_Startup_Investment_USDm,0.838628425494039,0.7714685752955841,0.6352639978515741,0.8711026111349713,1.0,0.7681356963752439,0.6507356447838906,0.20131758935300395,0.7846520805217259,0.44852698336952307,-0.4785058688887293
AI_Readiness_Score,0.887023248142161,0.6692341700554727,0.8140209854133589,0.5699659246262357,0.7681356963752439,1.0,0.9081302474722638,-0.24470452991826058,0.9039891334605579,0.744749158206174,-0.2900629194605759
AI_Employment_Pct,0.910307073015946,0.8017594502755491,0.9182806004595546,0.4603956367072099,0.6507356447838906,0.9081302474722638,1.0,0.8487523366074595,0.9003637766852077,0.8989614085854019,-0.2924206236858191
Internet_Penetration_Pct,-0.042960351668977485,0.2873706644834999,0.6360432076853693,0.19763569733115577,0.20131758935300395,-0.24470452991826058,0.8487523366074595,1.0,0.8495718565674786,0.7916373858049277,0.28622142335074907
AI_Adoption_Rate_Pct,0.8288271083902147,0.7290201841140673,0.802685187820122,0.7270908371950189,0.7846520805217259,0.9039891334605579,0.9003637766852077,0.8495718565674786,1.0,0.8210638395754365,-0.11139601173961948
AI_Market_Pct_GDP,0.5389414023486191,0.3070862757233671,0.8984252733063913,0.4009711038181609,0.44852698336952307,0.744749158206174,0.8989614085854019,0.7916373858049277,0.8210638395754365,1.0,0.08704909786559564
AI_Inv_Pct_Total_Startup,-0.6593629357777709,-0.7250393942713258,-0.3365703450158149,-0.1972312101139011,-0.4785058688887293,-0.2900629194605759,-0.2924206236858191,0.28622142335074907,-0.11139601173961948,0.08704909786559564,1.0
