Variable,Coefficient,Std_Error,P_Value
Intercept,-3.5253864576949194,1.3777992715367984,0.010506185157045994
C(Country)[T.India],12.484163864356972,7.338349720826743,0.08890126023944457
C(Country)[T.Pakistan],3.4802949416619104,1.6787289146578521,0.0381562109228847
C(Year)[T.2021],-0.36552353162169793,0.35263961388352677,0.29995231635520925
C(Year)[T.2022],-0.346077527331356,0.51461037131936,0.5012629017052775
C(Year)[T.2023],-0.46232396426225053,0.6425689126980735,0.4718370895191115
C(Year)[T.2024],-0.14458635761329575,0.7545730160117678,0.848044986709036
C(Year)[T.2025],-0.40076503561197807,0.8212071955088935,0.6255361060079436
AI_Adoption_Rate_Pct,0.01624799805488367,0.007688962274270097,0.03458718096694778
AI_Readiness_Score,0.09458887676801413,0.03808360312338007,0.013001924092305783
AI_Market_Pct_GDP,1.6782747550607027,0.8220864198542,0.04120292595272813
AI_Inv_Pct_Total_Startup,-0.05133375843084724,0.018519799291479906,0.0055741925254182215
Internet_Penetration_Pct,0.029898771722804474,0.02430821674288294,0.21870226361993084
RD_Pct_GDP,-21.27915554423189,11.894617671568689,0.07361908699118053
